impl,locality,depth,op,samples,clock_overhead_ns,mean_ns,p50_ns,p90_ns,p99_ns,p999_ns,max_ns
btree,uniform,16,trade_baseline,1000000,7,11.2,11,12,14,21,14999
btree,uniform,32,update,1000000,7,26.8,27,32,39,47,11263
btree,uniform,32,insert,1000000,7,31.6,32,37,43,51,13815
btree,uniform,32,remove,1000000,7,18.0,17,21,38,40,4507
btree,uniform,32,trade_baseline,1000000,7,11.1,11,12,14,22,9759
btree,uniform,64,update,1000000,7,28.4,29,33,41,54,11503
btree,uniform,64,insert,1000000,7,33.6,34,39,45,52,4907
btree,uniform,64,remove,1000000,7,22.2,21,31,44,62,13719
btree,uniform,64,trade_baseline,1000000,7,11.4,11,13,14,15,5151
btree,uniform,128,update,1000000,7,34.0,34,41,47,53,5015
btree,uniform,128,insert,1000000,7,40.2,40,47,56,64,11423
btree,uniform,128,remove,1000000,7,22.8,21,33,43,53,5827
btree,uniform,128,trade_baseline,1000000,7,11.0,11,12,13,14,1765
btree,uniform,256,update,1000000,7,36.0,36,42,49,60,11375
btree,uniform,256,insert,1000000,7,42.4,42,50,59,69,12503
btree,uniform,256,remove,1000000,7,25.3,23,35,46,57,33631
btree,uniform,256,trade_baseline,1000000,7,11.7,11,13,14,15,3143
btree,uniform,512,update,1000000,7,39.9,40,47,61,74,15095
btree,uniform,512,insert,1000000,7,44.7,44,52,63,73,11319
btree,uniform,512,remove,1000000,7,36.5,35,50,68,88,20623
btree,uniform,512,trade_baseline,1000000,7,11.4,11,13,14,14,11207
btree,uniform,1024,update,1000000,7,49.1,48,61,74,102,18927
btree,uniform,1024,insert,1000000,7,52.9,52,64,78,95,122559
btree,uniform,1024,remove,1000000,7,49.0,49,61,71,85,11679
btree,uniform,1024,trade_baseline,1000000,7,11.5,11,13,14,15,10911
btree,uniform,2048,update,1000000,7,51.7,50,59,68,79,108159
btree,uniform,2048,insert,1000000,7,55.0,55,64,74,85,13111
btree,uniform,2048,remove,1000000,7,57.4,57,68,81,95,20927
btree,uniform,2048,trade_baseline,1000000,7,11.3,11,12,14,15,4093
sorted,uniform,1,update,1000000,7,11.0,11,12,13,14,2921
sorted,uniform,1,insert,1000000,7,14.3,14,19,24,28,11247
sorted,uniform,1,remove,1000000,7,10.1,9,13,15,26,5571
sorted,uniform,1,trade_baseline,1000000,7,12.0,12,14,14,15,3973
sorted,uniform,2,update,1000000,7,11.1,11,12,14,14,14463
sorted,uniform,2,insert,1000000,7,16.5,19,22,26,31,10007
sorted,uniform,2,remove,1000000,7,11.2,9,15,16,30,2265
sorted,uniform,2,trade_baseline,1000000,7,11.5,11,13,14,15,3713
sorted,uniform,4,update,1000000,7,11.1,11,13,14,15,5351
sorted,uniform,4,insert,1000000,7,16.8,13,26,29,33,4251
sorted,uniform,4,remove,1000000,7,12.9,14,17,29,31,4603
sorted,uniform,4,trade_baseline,1000000,7,11.2,11,12,14,21,3491
sorted,uniform,8,update,1000000,7,10.3,10,11,13,15,3723
sorted,uniform,8,insert,1000000,7,22.0,26,29,34,41,19391
sorted,uniform,8,remove,1000000,7,13.5,11,19,32,36,107967
sorted,uniform,8,trade_baseline,1000000,7,11.8,12,13,14,15,5347
sorted,uniform,16,update,1000000,7,8.2,8,9,11,11,105663
sorted,uniform,16,insert,1000000,7,23.7,28,31,35,47,10959
sorted,uniform,16,remove,1000000,7,14.4,11,20,34,36,10999
sorted,uniform,16,trade_baseline,1000000,7,11.8,12,13,14,31,9367
sorted,uniform,32,update,1000000,7,8.0,8,9,10,20,11583
